RepRapFirmware height map file v2 generated at 2020-11-01 21:14, min error -0.178, max error 0.160, mean -0.014, deviation 0.078
xmin,xmax,ymin,ymax,radius,xspacing,yspacing,xnum,ynum
25.00,225.00,10.00,195.00,-1.00,25.00,23.12,9,9
 -0.178, -0.103, -0.043, -0.018,  0.032,  0.037,  0.119,  0.155,  0.160
 -0.153, -0.108, -0.053, -0.006,  0.004,  0.032,  0.107,  0.119,  0.147
 -0.178, -0.108, -0.071, -0.048, -0.036,  0.017,  0.052,  0.082,  0.105
 -0.145, -0.115, -0.068, -0.058, -0.028, -0.018,  0.020,  0.045,  0.069
 -0.113, -0.103, -0.066, -0.058, -0.008,  0.007, -0.006,  0.042,  0.052
 -0.098, -0.063, -0.046, -0.048, -0.033, -0.030,  0.017,  0.047,  0.065
 -0.071, -0.058, -0.058, -0.058, -0.050, -0.048,  0.027,  0.065,  0.085
 -0.071, -0.053, -0.053, -0.058, -0.068, -0.048,  0.037,  0.057,  0.089
      0,      0,      0,      0,      0,      0,      0,      0,      0
