RepRapFirmware height map file v2 generated at 2020-11-18 19:18, min error -0.160, max error 0.090, mean -0.017, deviation 0.060
xmin,xmax,ymin,ymax,radius,xspacing,yspacing,xnum,ynum
25.00,225.00,10.00,195.00,-1.00,25.00,23.12,9,9
 -0.160, -0.127, -0.095, -0.092, -0.100, -0.102, -0.062, -0.043, -0.085
 -0.132, -0.097, -0.090, -0.080, -0.115, -0.072, -0.043, -0.065, -0.043
 -0.105, -0.055, -0.050, -0.027, -0.067, -0.038, -0.050, -0.040, -0.045
 -0.060, -0.060, -0.050, -0.043, -0.023, -0.017, -0.040, -0.060, -0.050
 -0.017, -0.033,  0.005,  0.007,  0.023,  0.027, -0.003,  0.007, -0.007
  0.000,  0.017,  0.013,  0.030,  0.023,  0.027,  0.025,  0.017,  0.020
  0.050,  0.065,  0.072,  0.058,  0.030,  0.040,  0.060,  0.053,  0.038
  0.078,  0.082,  0.060,  0.060,  0.035,  0.055,  0.078,  0.090,  0.058
      0,      0,      0,      0,      0,      0,      0,      0,      0
